0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1.55945	-0.138501	8.4465e-010	-7.50172e-011	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1.83421	0.161822	2.29669	-0.20398	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
3.89093	-0.134166	-2.29669	0.20398	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
4.11774e+008	-5.49125e+008	-1448.27	-16275.3	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
6.86353	0.417969	1135.39	12756.6	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
2.65426e+013	-2.3624e+012	38693.6	-3441.43	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
9.07813	0.592773	-84902.4	7554.2	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
-2.09877e+012	-2.35883e+013	-2844.23	-31938	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
11.5752	1.67188	5686.15	63878.7	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
1.28103e+014	-1.14032e+013	173460	-15434.9	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
13.5625	2.3125	-346922	30875.8	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
-1.06739e+013	-1.19962e+014	-281803	-3.16632e+006	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
16.625	3	296255	3.32874e+006	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
6.43558e+015	-5.72761e+014	8.71443e+006	-775574	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
20	3.75	-1.74291e+007	1.55117e+006	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
-6.55463e+014	-7.36484e+015	-887557	-9.97263e+006	19.363	3.87122	18.923	3.74161	2.61382	0.95648
21.25	4	1.77511e+006	1.99453e+007	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
3.7292e+016	-3.31896e+015	5.04966e+007	-4.49415e+006	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
48	4	-1.00993e+008	8.98831e+006	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
-4.32026e+015	-4.85427e+016	-5.85001e+006	-6.5731e+007	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
26	0	1.16998e+007	1.3146e+008	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
2.38372e+017	-2.12149e+016	3.22777e+008	-2.87269e+007	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
0	0	-6.45536e+008	5.74521e+007	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
-3.06785e+016	-3.44706e+017	-4.15414e+007	-4.66762e+008	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
32	-256	8.30253e+007	9.32877e+008	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
1.64174e+018	-1.46113e+017	2.22306e+009	-1.9785e+008	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358
0	-64	-4.43969e+009	3.95129e+008	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
-2.28331e+017	-2.56555e+018	-3.09181e+008	-3.47397e+009	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617
